case_submitter_id	sample_submitter_id	rna_expression_file_id	ascat_cnv_file_id	caveman_vcf_file_id	pindel_vcf_file_id
C3N-03426	C3N-03426-01	1259de18-8eb4-4fb1-a47d-a68cafde9bbf	001cb7d2-1ab2-4809-84a2-02bdeeac8f0c	48a368f2-5ca6-4139-8377-41e73d0236ed	ea314d21-1d72-4d6e-ad52-44b69e4d8483
C3N-00326	C3N-00326-01	c481ae62-f370-4be7-9c38-57373090e8cb	ec1372f6-b1dc-45b9-921c-22cd6c80c3a4	0027b2e8-2c97-42d4-8ca4-a6ec34091985	ebd9a1b0-fe86-4fe0-aa44-7bc15eb5bb98
C3L-00923	C3L-00923-03	c5bf53e7-f50b-4ee0-96fc-8b2cf9613bab	003a4fd2-98f9-4691-b1bb-848f929ca657	821fd933-4f1f-4976-bcdb-285fe90751ac	b0f82ee1-aac4-4b9c-99fd-4a4938cd573a
C3L-01455	C3L-01455-01	3a4e6744-061e-4217-988c-a0db5dfeba32	008041d9-8d4d-4698-96ad-f84b0c56d7f2	a2c2adb8-93ac-458b-9cda-52222a978ce0	a72bf49f-6533-4009-a5e6-3d7fa5ac1f88
C3L-01327	C3L-01327-01	f7e4f15f-7103-4b18-a76a-32fe44885348	e184186c-7317-44e9-ae05-d8cea15a0e33	0091c1bb-e35c-4008-bbef-0c3ec47bdff3	6913c744-9ef6-40c1-b9c9-920e64e7aab7
C3N-03226	C3N-03226-02	427d1065-4f59-4d90-a193-472580643bc3	e02f7cba-5ed3-4383-b7ba-fd2173ac63af	00b26102-748e-417a-b2d8-da11222152f2	2880abed-7dd2-4a0a-bdd9-848955d32010
C3N-00546	C3N-00546-01	ac0cce4d-b7b5-4d6d-a04d-ce9c785ad124	d7819c84-4b45-47a0-86a0-d5153b5043a9	7bc73d15-3712-44a7-a234-cf957e2439f7	00f9048e-1d67-4b24-99dc-7a1a9b8ee03c
C3N-00168	C3N-00168-04	e33244f6-cda4-4201-bcb4-54517d6c5933	79fc04bc-b6c8-4da8-9534-836d5ddd1bb8	a3deb435-4966-400c-948a-75645d17adee	0118db4c-c003-437f-8dd6-5079196a296c
C3N-00847	C3N-00847-01	ea07e153-2ba7-4fc8-affb-4ed8a8b0155e	4234a433-149c-44b1-891e-d797bfbac72e	7d1ee10b-7c62-4a19-9f90-58478942d261	016acf1c-ea67-44ed-a8d9-c361a50afac4
C3L-02968	C3L-02968-02	28da3fa4-9389-408a-8757-33be4fb8e9ca	01710e23-ac37-46ac-935f-5497d3a59cab	0d073efd-875e-4d50-86cc-83db8611d92a	fb3c49ad-d19e-4b79-b849-84454ce9569c
C3L-04354	C3L-04354-02	9c19901d-026e-48cb-af40-df4774219ba1	018cfdf4-5541-45fa-ac5e-e7c9fbd4026a	04529e8d-8d2a-475c-9d12-05a13bda9232	b0274a1c-97a8-4c4f-aa4c-320ad5b2f366
C3L-00156	C3L-00156-02	d27f625c-df1f-45cd-810d-8104b03e8468	01b88c63-3db6-4525-85a4-cfb909614b50	2963923b-577f-4bfb-8ce1-0e7928698cbd	50e89c6e-4561-456c-8522-cad8a3ab068c
C3L-03962	C3L-03962-03	8775d86f-4420-47ac-a752-a47eb8a380cd	b43fd900-803a-4fa6-b182-29a4cb7c003b	01cafa5f-f63d-4359-891f-45c2160fe8c9	0a46c0bc-7c2d-4147-af60-f973f6a05b89
C3L-00418	C3L-00418-03	a57639f0-8812-4cf2-9b35-40e4d0b090d8	a8e88a59-c70f-456f-9c4c-63364f56647c	95944b1a-715d-401a-9913-937fbef7a695	02016b74-451c-42d1-8405-55f76b1f317b
C3N-00733	C3N-00733-01	3313bcc5-8507-48c9-9eef-f6ba316883ec	022cfd1a-beb0-491a-a893-b526aadb4ad7	d8df7bb5-2faf-4840-bd07-53ff494968b5	eca505b5-ea77-4a73-bdf3-7acae0afc4f1
C3N-01643	C3N-01643-04	060aaf03-5c79-4678-a65c-c7d0cc2098e3	02725534-9dbd-4528-aa19-1ee1eee1d62d	ebbad309-5ec0-43c2-8612-acf9f7809638	0b17d443-ee36-4083-bee4-cc97854fb93b
C3N-01214	C3N-01214-02	21f64288-f296-4822-bbdb-d4eb627bd800	2722efeb-fbe9-4976-ad4e-ba4e9f2d28ad	fe0c63f9-6cf7-4078-9b68-30a7ea7e4066	0282dd79-c013-4cb3-a236-d363334a2931
C3L-01252	C3L-01252-01	57011a6b-5875-40df-a29c-af3d72d9b6f7	02a213f1-6e11-4c31-96ff-bc32fd4320ab	d03427c7-65bd-4bc8-b4ac-4dc1e56b169b	72d338d3-9e77-411a-a105-7209e96daced
C3L-01052	C3L-01052-02	3ac2fc4d-9961-439b-bfd6-44039a0106d4	02bc7a4a-895c-4c4e-910f-dc11cd24c286	7439fdf4-5286-4037-b4cd-6cb87812313b	d6cca022-4473-4885-b5fa-a682b8c96f3c
C3N-00495	C3N-00495-01	bbb108c0-c962-4ae6-b510-c4bdcedcc47c	02c18f77-74d2-4926-9e78-9f5d2202b78f	267f963a-e77b-43cb-b7c1-d7b567a2481d	6d67b5bb-fa4b-4c0f-8d30-b330c2e0e6fc
C3L-00359	C3L-00359-01	8f8ceae7-f108-4ae1-b49e-75d48473d0d5	02ce333e-3c67-447a-81a0-1b19770235e4	a24b9fa9-8754-4ba5-8bed-39a9c05d6def	7db255ba-f4d3-40f3-86ea-4a51b91a6d44
C3N-00846	C3N-00846-02	a390b5dd-5938-4ece-b15a-d37f00cdb8f2	02d87aac-e6e4-4394-914b-4fe85112d080	0df90ccc-1a7f-4a3a-945a-6c70cdfecef7	8dcc1412-4c2b-4f49-983d-014cc762a45a
C3N-00148	C3N-00148-02	655b010a-6fd8-40f2-8a3a-e1e32da833f2	c63ef218-d4f7-4862-be07-6e04743db801	caa20ec7-d8c3-4602-84a9-b71b1567cfbd	0329b4a4-6599-42d9-aac2-9cb4f6f43323
C3L-01248	C3L-01248-01	e01049f0-1ea8-41a7-a8e7-fdf3e97352a2	034c95c1-3646-426e-9d31-0272ea76da38	a24c89ba-d379-479a-b637-5400aa9f3a62	888d0e8a-b110-4854-8de7-cf0bbcc0504b
C3N-00959	C3N-00959-02	56bc47f8-58d6-4431-9d86-35b8b64b8025	e49351bb-11f5-466a-886b-189f11c60349	5cfa5fcf-183a-4423-872f-724f4fa9b0f4	034ef282-bf01-460e-bd08-f4022dd23aca
C3N-04152	C3N-04152-01	6821a4da-74ac-4e19-8419-b020a87b733a	5fb47d82-d43a-4625-88b9-4d3135e6bdfd	187ef67e-3216-4841-a47c-2b7e21206343	03590a1e-87dd-4440-bb98-1be013ecbd87
C3L-02546	C3L-02546-03	f5f995b6-3075-4cf9-be6e-cf350be932c5	8832030f-3ac9-4150-9f53-a90015b4519d	77040a05-b1e2-437f-989a-81751c9599b4	0373a96c-fb49-4e5f-81a9-df36f500a712
C3N-02675	C3N-02675-04	7869bb5d-ff07-4302-9b32-f9941f1a081a	c10445a6-a745-4b0e-80e9-aafea118363d	0391a39c-1f5e-4b10-8fa2-f94f4f2d5cfa	86b341e0-1eae-4eb4-a7e1-dc672f9cd1bf
C3L-03272	C3L-03272-02	c264e361-800b-4394-94fa-70fc411c9db9	9fd636ac-0891-4e00-8701-f4b8222a5ff5	0391dbfd-56a2-454a-8477-aa209b43fa90	cc251de8-89f7-4506-8e3b-d8db7e0a7249
C3L-01861	C3L-01861-01	411254d1-97ca-431d-9642-809df5a88841	d4b2c23a-0a4d-4baa-abcc-9372264f0e41	0396cb87-c341-461c-b881-5119a906117b	8a69d751-9796-4155-ad22-f5c079ceceae
C3L-00103	C3L-00103-03	935091b2-f133-47ec-8fde-133b094f33ba	29db5dd1-3263-4754-8955-95357114262d	03c4d611-ec94-49aa-843a-01b25ef1b33a	115c0b8d-6ddc-453d-bcdc-a0f0dfc8a9ad
C3L-04084	C3L-04084-04	bc692874-f501-4474-9d1a-42e89d680426	03c6fada-2816-43a5-86e7-85a1817d245b	eb0d2b57-5753-4e05-8499-ca1b2c53cc67	3b42b53a-efbd-4c97-891b-779873e872df
C3N-02288	C3N-02288-03	55d9b5f7-6131-4651-a8fe-d5e50a2899fe	8c8a20be-db15-417d-ab05-a71b7ceb6b5f	03e7a7d6-0d19-4f33-b27d-0751928863a9	dc0141dd-16f8-4033-92a5-30cb1bb9a1d1
C3N-03456	C3N-03456-01	c5ccaf12-7841-4d16-b1af-33aab9eec26b	b39b573e-5ce5-4668-bda3-0c1ccd545f38	140a4d25-6156-40ee-a3fe-dac7bcee8a52	03f3ee7b-740b-420b-ba5b-038af80b8eb9
C3N-00733	C3N-00733-02	f178c76a-8401-46ec-bbcd-5e4ce20199e7	049d545d-69ba-4d9c-b384-727c0a7dc2ed	8fd9cba7-7f5f-446a-9422-527dc3ef1f49	fd2f64d1-ee74-4678-97bd-21643c5103d4
C3N-00198	C3N-00198-02	53ab1332-7a5b-44a7-8c47-86b6a9f6a93e	1d3fa494-bdbf-4ed3-8d1f-5612f6439525	574d6b63-e2e5-4289-a515-741d6d10bcb7	04d45ee7-bbe8-4bd9-a317-d71b9c41b183
C3N-00662	C3N-00662-03	24a99edd-a72f-4552-b1b3-f060975f4f86	ff52888a-a783-417f-a94a-dbd763adcc3a	04eab423-ba54-40c8-a620-bcf406fec0b3	e5038dd7-af42-457f-a023-628b948ffa86
C3N-00340	C3N-00340-03	cf9ed3db-db38-47de-a143-c5969a95a8f9	04ff9638-6487-4176-8a25-e78a02c9ba1c	d7837455-7cf9-4caa-b4d9-e39227c09d89	a586c892-ff39-4d98-bf24-c43dadc330e9
C3N-01818	C3N-01818-02	3364d0d8-15da-492e-86f5-73cc8a052f2c	b8b6eed9-1b7c-4cd8-84d8-8787da56689d	1b98d811-8836-4bed-8b31-ac03c062d262	051caf15-4b68-440c-8451-ce5b4d62e4b8
C3N-02998	C3N-02998-03	f7f76e74-5fc9-40b6-aa8e-e3cbe00aa3b3	052f51a8-0814-4cc2-ad78-17375d7c6070	cb038a84-a3b6-4aa4-888f-63592254eb50	3f4431c2-643b-4d2b-95b4-81412bf1c5bb
C3N-01178	C3N-01178-02	87e47189-6b3d-4fbe-aa17-a6327158df90	79f8f12c-ea4a-4e0c-b46d-212c7c74aef8	05397050-08bf-4c21-b89f-d437a0e950de	cc163e66-fa84-4528-85d0-9dd53c45793d
C3N-03882	C3N-03882-01	0ce95bee-0c0b-4f29-982f-d94dc269c355	7cb31790-26a9-49ae-8db4-6e0d26ea5e41	055caa55-8db5-4325-b675-faed6aa11e54	eef95c0b-846b-4ee3-ae0f-5260dbbe61cf
C3N-01859	C3N-01859-01	95bc11c4-7aa7-41d1-9892-dacb0c71e26c	a59bed29-849a-455f-b42f-0607a39cec25	75d4a567-ef1f-4cb4-8119-0f6b84f76817	058ab046-5b96-46d2-8d48-50314bd0fd2e
C3N-01510	C3N-01510-02	560a84e5-6e34-44ed-9ceb-2feb67144c5e	71fd2257-2d89-4d25-a54c-d41a88834f51	fb22dcca-a10a-48ac-b5e9-38be1126614c	059bd9ff-62ad-4df0-9f49-d76266a37c42
C3L-02617	C3L-02617-03	e435f0d8-fc4d-4be2-82ad-e546bc3397a0	a00a6c17-6002-4a56-8b88-5096514d3125	411b5c08-bba1-432d-8b90-e782ff8c10cc	05b1a0b2-6077-45f9-93ad-2158c46aa29b
C3L-00360	C3L-00360-01	9d1b8061-5732-4eef-b95e-fe49e7a50d9d	6252993e-d10d-40fb-a04f-8ef44a4cdcdc	05b73d7b-a07b-4bec-a911-a3f23f029f1c	eaa9b231-9678-4f48-a940-52cb6d283073
C3N-01011	C3N-01011-02	ff8f0dbd-3866-4637-abe0-bf2d32813ef1	05c4fc6c-6b23-473c-a814-6a0a9bb70025	b9a734fe-919b-401b-b9b3-d030f8895493	07f8730d-2e93-413d-9b93-11d609857b48
C3N-03785	C3N-03785-03	7eb1b0d3-d9d9-43ee-8d7a-2d8415ba363a	6b49bead-e37c-4195-919f-18b8a99681c9	78f81cfe-dbf8-4c5d-ad02-78c0b6420959	05d18045-7b3e-4ff0-84f0-436016243da9
C3L-03678	C3L-03678-02	ccb8648e-a315-47cd-95c5-984c33e4a436	4311ca95-a9af-4c88-9894-aa5e22da8242	8a72ff5e-4335-471e-aee0-fb055eb7be46	0611524d-47ab-4b2b-93fb-576a156aa47e
C3L-00928	C3L-00928-03	d04d6e83-23e7-4223-9c6e-2ae6778c6f15	061dd2b2-e72b-46e5-b4aa-d79401235d1f	3c928bb6-88d1-4496-aff0-771a580e8321	806ed1c1-1694-4f59-9d8c-e72f19ca0878
C3L-01275	C3L-01275-01	f0137afe-a6c7-464d-a61c-ba32446de0ac	0639a4c1-2a42-4402-9217-b9c3f7747bdc	c8ab34f4-a290-4d70-84aa-f9c6393e04ee	36eec457-b7e6-45d0-8ae5-e003797b7031
C3L-01286	C3L-01286-01	35121379-c42c-4d60-9ca8-00803a92e295	9971864f-00ea-4455-8a32-5436661e3ff9	0645f039-accf-45b8-ac5f-fe44603d26f6	514589f1-859e-4544-a8cd-d81fdfcbb696
C3N-01502	C3N-01502-01	bb2a22a1-28dd-4c23-b525-dbbe89f23a5f	0663b188-eb8b-4d03-9afa-3b4d7457a4e6	ed410131-4f3d-4704-912e-05493b58b105	671616c9-8c23-43fb-8454-4de72006e870
C3L-03395	C3L-03395-02	cd845b45-a675-4e48-a754-4f93a89923b5	c7895fca-ec73-4f3e-91b8-4d19cdb4db6e	06a0bdfe-e6f9-4236-b370-36bfc1d6de74	b9defc59-778e-4448-86d2-a5cdef6c9efb
C3N-00312	C3N-00312-04	9d0f414e-3513-4732-829b-f736d879e44f	83531681-f41f-48d2-ae01-23a40fb88840	06b3424d-007d-494e-8b0f-94fcd03701bd	b0c3a7e1-af1a-4992-b103-12194a6d0036
C3L-01838	C3L-01838-03	3414145f-adec-4235-88b3-a31919ace563	621132b0-7969-4bcb-8c24-2d5c1b7bea94	06d1b004-0864-43fe-8daa-e63ac97d882e	d194262b-06a9-43bf-81b0-98c7798d8eca
C3N-00320	C3N-00320-01	8463af3b-5a87-4e27-aa94-3c8c8a8df91a	5c75b9d1-b214-414c-9361-c802d8c3a9a0	a33406d4-0f7d-4326-b413-6c138a609b6c	06dd4ef6-8ec1-4b91-a8e9-6b714cc62b1e
C3L-00993	C3L-00993-01	e0f01ea0-8b06-4b4e-b80a-e3a9102d634d	072d7263-be64-4f6b-be52-5396fd635494	8e4a74dc-f3c0-4634-9703-bdbf03901a88	25f75ef9-f736-4245-ac7b-e28b34ad64f9
C3L-03681	C3L-03681-03	0545b5c3-1dfb-4e0e-b956-97ba018a1406	23a10ad8-7ded-4098-8e9f-7716facda7fa	cccb9de1-844d-4c18-830c-560e84bf240f	072de84f-7a50-4177-83c3-8c02a3783a15
C3N-00573	C3N-00573-03	02cf6a27-378c-4c13-bf88-667aef7e36c3	e6283df4-7f7b-4bb4-aad1-dbb3e127d8d7	072eef11-8deb-467c-944c-b13ea3efa21c	7ce077f4-34a8-4dd1-b2bc-ae2121a5c202
