id	filename	md5	size	state	data_category	data_type	project_id	case_submitter_id	sample_submitter_id	sample_type	type	aliquot	id_v22	filename_v22	md5_v22	size_v22
00124788-26ef-4efb-b80d-ca619630a569	15b73d5b-f283-4a62-a2a4-6cb5aca71d78.wxs.aliquot_ensemble_raw.maf.gz	b38dad40cce7c049bb801da45378c8f9	1060468	validated	Simple Nucleotide Variation	Aggregated Somatic Mutation	CPTAC-3	C3N-01211	C3N-01211-71, C3N-01211-01	Blood Derived Normal, Primary Tumor	wxs_protected_maf	CPT0075900009,CPT0076020002	592b658d-12a2-4106-b48a-b8ddae13057c	1d4f5b85-fab5-4398-9ddc-581fb892e56f.wxs.aliquot_ensemble_raw.maf.gz	c5ab67c9fc2fc7774cc248259e19cedc	889313
001cb7d2-1ab2-4809-84a2-02bdeeac8f0c	67046000-0d4f-478a-a014-6e57cc5ebf61.wgs.ASCAT.gene_level.copy_number_variation.tsv	25b35a80f9f1b46510dc224325da5043	3441623	validated	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3N-03426	C3N-03426-31, C3N-03426-01	Blood Derived Normal, Primary Tumor	ascat_gene_level_cnv	CPT0226600007,CPT0226640002	366ba1b6-88da-42f2-b254-8f430aa4c85b	dab53418-3b7b-444f-8880-9d5b195d56f7.wgs.ASCAT.gene_level.copy_number_variation.tsv	03f55f09870e190115b30720f802e249	3481555
00201a33-702b-4051-a113-8969b242129a	44a50646-fa14-4499-90be-7cf0a048b36d.wxs.aliquot_ensemble_masked.maf.gz	01add0281457d1f0e0ce772b607b463b	10558	validated	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-3	C3L-01054	C3L-01054-31, C3L-01054-04	Blood Derived Normal, Primary Tumor	wxs_public_maf	CPT0123990009,CPT0124920002	c27cb597-5978-4b90-852d-608f39670598	d4104999-ed8f-453d-afb0-e1358855c7db.wxs.aliquot_ensemble_masked.maf.gz	8b6beef51a88659006ac66c096b879b8	8573
003a4fd2-98f9-4691-b1bb-848f929ca657	9629726a-23d6-4f93-b10d-a4298218873b.wgs.ASCAT.gene_level.copy_number_variation.tsv	0d45cd9b5d54ff998dc8fc659680a614	3441263	validated	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3L-00923	C3L-00923-31, C3L-00923-03	Blood Derived Normal, Primary Tumor	ascat_gene_level_cnv	CPT0063430009,CPT0065260002	6d6d35d6-db0b-438c-9668-c6c3100a3dc2	6dda24b6-ccab-479a-9850-e82418150f0e.wgs.ASCAT.gene_level.copy_number_variation.tsv	afe027e099e4663b7ed0b2370abb3c06	3481183
004ce62e-3c5c-4562-8c49-2187c2a1d881	CPTAC-3.d74d53b1-63f3-47ff-9a4c-eabbdb404835.arriba.rna_fusion.bedpe	376247a8500df6af2c62d0a57d148276	583	validated	Structural Variation	Transcript Fusion	CPTAC-3	C3N-03837	C3N-03837-01	Primary Tumor	arriba_bedpe	CPT0236620009	c8bfdba2-9856-4d59-85ae-1d37ce6ff64c	293e9222-ca20-4558-a76d-ce145e1a95b5.arriba.rna_fusion.bedpe	f874f29d8cff281871c3b96c817ed728	340
004d0e29-3faa-4da9-966d-9f5d3ea2cc93	CPTAC-3.4d6f9aee-449d-4935-8819-12332bf8132b.arriba.rna_fusion.bedpe	aa91197ae21aa18aaecfe27f2e1f9062	1520	validated	Structural Variation	Transcript Fusion	CPTAC-3	C3N-02003	C3N-02003-01, C3N-02003-02	Primary Tumor, Primary Tumor	arriba_bedpe	CPT0109740007	d6d57cb9-b526-4d5e-88a6-6413dbd8961e	e2f09fb8-a126-4482-8b67-f1536758b9ac.arriba.rna_fusion.bedpe	f9bdbbf2d4ca612ea52d15403874b4a2	881
00509332-2a91-422b-8bbe-e5cccffd8a35	CPTAC-3.49f7abab-52ee-4d8d-952b-51c43a5f5a0e.star_fusion.rna_fusion.bedpe	3493ad9a16fa4772291ac6ed1f473883	446	validated	Structural Variation	Transcript Fusion	CPTAC-3	C3L-01703	C3L-01703-02, C3L-01703-03	Primary Tumor, Primary Tumor	star_fusion_bedpe	CPT0094940007	f758516f-0ddc-4237-a7b1-5ca63da7591c	63a6850d-6dee-4d87-bbb5-15a51f996fac.star_fusion.rna_fusion.bedpe	995b443f41a7404c12a8dbe6c1e779fc	446
007205dd-906c-4c81-a62d-dc45dddb0a85	CPTAC-3.f2af2a0d-46a8-4048-bdff-351901cdeba9.star_fusion.rna_fusion.bedpe	b5d2e0c07bbeb742a964cc1e399508a8	454	validated	Structural Variation	Transcript Fusion	CPTAC-3	C3N-01649	C3N-01649-02	Primary Tumor	star_fusion_bedpe	CPT0088630006	103c0d8d-6f46-42ea-9576-87257e811628	4b08f1a0-0eec-466c-85ee-c151bb41f3bc.star_fusion.rna_fusion.bedpe	72a8d2d64a6edad95368a8124144436d	1261
008041d9-8d4d-4698-96ad-f84b0c56d7f2	c3ed593d-762a-4a75-8d55-2ade6a615b9d.wgs.ASCAT.gene_level.copy_number_variation.tsv	2270b261cb0ee9301e9b00de7d74272b	3442796	validated	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3L-01455	C3L-01455-01, C3L-01455-31	Primary Tumor, Blood Derived Normal	ascat_gene_level_cnv	CPT0108340002,CPT0108560009	77bd344a-6d9c-4821-b686-1e58c3fba237	eb99cfb0-7404-47da-8c5f-09913e5ee026.wgs.ASCAT.gene_level.copy_number_variation.tsv	dd8bcacf855de3913acf7845d02581ef	3482800
0085be97-ee0e-4da2-9e39-19b8bc1bb8f0	CPTAC-3.be7740b1-a9d6-4601-bf2e-a6b15905ba8f.arriba.rna_fusion.bedpe	2c78e8ed0464f1dbe3b7a2a0d721c632	15628	validated	Structural Variation	Transcript Fusion	CPTAC-3	C3N-02283	C3N-02283-02	Primary Tumor	arriba_bedpe	CPT0126530009	840231ba-a28a-4d12-8a4a-5b58117a39de	aa567199-d77e-45ed-becb-9819e4e52b4b.arriba.rna_fusion.bedpe	c7c6494d08727597ada818692b3a040f	14423
